Image X[Pixel],Image Y[Pixel],X[mm],Y[mm],Z[mm],Horizontal Displacement U[mm],Vertical Displacement V[mm],Out-Of-Plane: W[mm],Horizontal: u[Pixel],Vertical: v[Pixel],Horizontal: q[Pixel],Vertical: r[Pixel],Correlation Value 2D,Correlation Value Persp,Sigma,Epipolar Distance,Strain-global frame: Exx,Strain-global frame: Eyy,Strain-global frame: Exy,Maximum Principal Strain: EI,Minimum Principal Strain: EII,Shear Angle Gamma,Von Mises Equivalent Strain,
2025,2006,-5.12535574747454,-14.1075895260964,0.0122250489396265,-0.000584,0.002303,-0.004370,-0.014191,0.090017,331.898098,25.081381,0.998809,0.982141,0.005430,0.180790,-0.000086,-0.000163,-0.000057,-0.000055,-0.000193,-27.921797,0.000261,
2040,2036,-4.80292987937947,-13.4481642687783,0.00580804257725731,-0.000368,0.002858,-0.005860,0.000189,0.113555,331.277976,25.034212,0.999193,0.985765,0.004753,0.140615,-0.000090,-0.000063,-0.000023,-0.000049,-0.000103,-60.250673,0.000156,
2055,2066,-4.4808436297266,-12.7901811602053,-0.000173139713865567,-0.000427,0.002832,-0.007387,0.001968,0.086877,330.653609,24.936289,0.998584,0.980594,0.005268,0.109427,-0.000048,-0.000042,-0.000004,-0.000040,-0.000050,-60.412789,0.000090,
2070,2096,-4.1572024828451,-12.1346618209543,0.0145220849526595,-0.000003,0.002613,-0.006896,0.020243,0.092388,330.221581,24.836804,0.999058,0.981003,0.005122,0.119110,-0.000043,-0.000037,0.000010,-0.000030,-0.000050,54.417171,0.000081,
2085,2126,-3.83625992987786,-11.4756442069656,-0.00341211352787241,-0.000264,0.002755,-0.008262,0.012491,0.103226,329.495518,24.711762,0.999138,0.985472,0.004863,0.169927,-0.000040,-0.000024,0.000017,-0.000013,-0.000051,57.933423,0.000068,
2130,2216,-2.86975493815132,-9.50638059811536,0.00415996151002673,-0.000403,0.002808,-0.007381,0.004429,0.088482,327.867210,24.489507,0.998612,0.982995,0.005149,0.169579,-0.000029,0.000004,0.000012,0.000009,-0.000033,71.397150,0.000034,
2460,2966,4.17440629214927,6.8657775160229,-0.0174098931391882,-0.000737,0.002678,-0.006108,-0.009735,0.110042,314.889399,25.642586,0.999424,0.992420,0.003721,0.181765,-0.000031,-0.000017,-0.000018,-0.000005,-0.000043,-55.177949,0.000053,
2505,3056,5.13643916651275,8.82301424089457,-0.00142425192632345,-0.000616,0.002554,-0.007189,0.000658,0.107309,313.641466,26.009992,0.999759,0.993878,0.003456,0.284805,-0.000040,-0.000007,-0.000006,-0.000006,-0.000042,-79.928263,0.000052,
2115,2186,-3.19200001220496,-10.1617739337669,-0.00186046487840485,-0.000255,0.002632,-0.007248,0.010470,0.100582,328.379994,24.590732,0.998914,0.983320,0.005068,0.141601,-0.000039,0.000003,0.000006,0.000004,-0.000040,82.304772,0.000043,
2205,2456,-1.27811891437488,-4.25763580609674,-0.0149178662136364,-0.000536,0.003010,-0.006867,-0.001849,0.105885,323.486033,24.350446,0.999103,0.986939,0.004725,0.258242,-0.000032,-0.000026,0.000005,-0.000023,-0.000034,59.520143,0.000058,
2340,2726,1.60968890860117,1.63745921877021,-0.0387911221523041,-0.000339,0.002616,-0.009655,0.019044,0.087255,318.629283,24.751069,0.999368,0.990454,0.003888,0.170783,-0.000027,-0.000024,0.000012,-0.000014,-0.000037,47.773342,0.000053,
2235,2516,-0.63652926075186,-2.94534629519673,-0.0282583854931318,-0.000472,0.002535,-0.005927,-0.001592,0.118700,322.307466,24.410084,0.999568,0.991270,0.003735,0.225444,-0.000035,-0.000038,0.000001,-0.000035,-0.000039,21.737571,0.000074,
2220,2486,-0.956744031578609,-3.60180436063017,-0.0163274828036606,-0.000590,0.002826,-0.010049,0.006031,0.095422,322.946601,24.406121,0.999424,0.989465,0.004057,0.194853,-0.000042,-0.000020,0.000002,-0.000020,-0.000042,85.268460,0.000063,
