Image X[Pixel],Image Y[Pixel],X[mm],Y[mm],Z[mm],Horizontal Displacement U[mm],Vertical Displacement V[mm],Out-Of-Plane: W[mm],Horizontal: u[Pixel],Vertical: v[Pixel],Horizontal: q[Pixel],Vertical: r[Pixel],Correlation Value 2D,Correlation Value Persp,Sigma,Epipolar Distance,Strain-global frame: Exx,Strain-global frame: Eyy,Strain-global frame: Exy,Maximum Principal Strain: EI,Minimum Principal Strain: EII,Shear Angle Gamma,Von Mises Equivalent Strain,
2011,1993,-5.28095583145824,-14.2501865648237,0.0235339946342492,0.003707,0.002048,-0.006881,0.189239,0.057368,332.531697,25.001732,0.998798,0.982258,0.005313,0.328789,-0.000017,-0.000155,0.000008,-0.000016,-0.000155,3.391374,0.000190,
2056,2218,-4.33451147916539,-9.31887542669817,0.00447952736959678,0.003944,0.002251,-0.006076,0.198908,0.114142,328.507750,24.671109,0.998592,0.981379,0.005340,0.369066,0.000005,0.000007,0.000022,0.000028,-0.000016,45.954532,0.000028,
2026,2068,-4.96478536687934,-12.6070262324375,0.0239263702409289,0.003840,0.001343,-0.005060,0.190474,0.045082,331.243276,24.798918,0.999704,0.992223,0.003678,0.383588,0.000002,-0.000007,0.000018,0.000016,-0.000021,38.322168,0.000022,
2041,2143,-4.64909070109494,-10.963066859014,0.0142457461415688,0.004325,0.001248,-0.004952,0.212637,0.059461,329.893197,24.673151,0.998009,0.981019,0.005986,0.407954,-0.000008,0.000013,0.000006,0.000015,-0.000010,74.838489,0.000015,
2101,2443,-3.39080674134373,-4.40226083400758,-0.00863354137203487,0.004175,0.000962,0.000501,0.190808,0.076113,324.536498,24.393794,0.999334,0.987623,0.004483,0.440389,0.000006,-0.000015,0.000008,0.000009,-0.000018,19.571509,0.000018,
2071,2293,-4.02014153806909,-7.67913426793291,-0.00761308445453324,0.003868,0.001484,-0.006072,0.195440,0.044098,327.117520,24.504626,0.999803,0.993230,0.003786,0.389588,0.000000,-0.000006,0.000015,0.000012,-0.000018,39.530506,0.000018,
2146,2668,-2.44944115823072,0.504718355301272,-0.0241703555670369,0.004112,0.001028,-0.003524,0.200273,0.057232,320.581784,24.354219,0.999610,0.991683,0.003677,0.475396,0.000004,-0.000017,0.000004,0.000005,-0.000018,10.745435,0.000018,
2116,2518,-3.07739453738245,-2.7644193166827,-0.0235331115731015,0.004038,0.000791,-0.002352,0.192932,0.039027,323.133835,24.397931,0.999258,0.987570,0.004392,0.383947,0.000012,0.000006,0.000015,0.000025,-0.000006,39.491678,0.000026,
2296,2023,0.933236355412244,-13.6019088375175,0.0290080878256163,0.003838,0.000192,0.001983,0.169069,0.046177,331.049143,22.898455,0.999160,0.981607,0.005421,0.484384,-0.000015,-0.000001,-0.000008,0.000002,-0.000019,-65.992339,0.000020,
2176,2818,-1.82359676213899,3.77233026028534,-0.0353930722955056,0.003946,0.001115,-0.003147,0.191842,0.049384,317.933695,24.587295,0.999392,0.990689,0.003912,0.346618,0.000001,-0.000025,0.000003,0.000002,-0.000026,5.944910,0.000029,
